Company,Acquisition Year,Acquisition Month,Acquired Company,Business,Country,Acquisition Price
Apple,1988,Mar,Network Innovations,Software,United States,?
Apple,1988,Jun,Orion Network Systems,Computer Software,United States,?
Apple,1988,Jun,Styleware,Computer software,United States,?
Apple,1988,Jul,Nashoba Systems,Computer software,United States,?
Apple,1989,Jan,Coral Software,Computer software,United States,?
Apple,1997,Feb,NeXT,Unix-like hardware and software platform,United States,"404,000,000.00"
Apple,1997,Sep,Power Computing Corporation,Macintosh clones,United States,"110,000,000.00"
Apple,1999,Jan,Xemplar Education,Software,United Kingdom,"4,926,000.00"
Apple,1999,Nov,Raycer Graphics,Computer graphic chips,United States,"15,000,000.00"
Apple,2000,Jan,NetSelector,Internet software,United States,?
Apple,2000,Apr,Astarte-DVD Authoring Software,Software,Germany,?
Apple,2000,June,SoundJam MP,Software,United States,?
Apple,2001,?,Bluefish Labs,Productivity software,United States,?
Apple,2001,May,bluebuzz,Internet service provider (ISP),United States,?
Apple,2001,Jul,Spruce Technologies,Graphics software,United States,"14,900,000.00"
Apple,2001,Dec,PowerSchool,Online info systems services,United States,"66,100,000.00"
Apple,2002,Feb,Nothing Real,Special effects software,United States,"15,000,000.00"
Apple,2002,Apr,Zayante,FireWire chips and software,United States,"13,000,000.00"
Apple,2002,Jun,Silicon Grail Corp-Chalice,Digital effects software,United States,"20,000,000.00"
Apple,2002,Jun,Propel Software,internet and network optimization for wireless carriers,United States,?
Apple,2002,Jun,Prismo Graphics,Special-effects titling software for film and video,United States,"20,000,000.00"
Apple,2002,Jul,Emagic,Music production software,Germany,"30,000,000.00"
Apple,2005,Mar,SchemaSoft,Software,Canada,?
Apple,2005,Apr,FingerWorks,Gesture recognition company,United States,?
Apple,2006,Oct,Silicon Color,Software,United States,?
Apple,2006,Dec,Proximity,Software,Australia,?
Apple,2008,Apr,P.A. Semi,Semiconductors,United States,"278,000,000.00"
Apple,2009,Jul,Placebase,Maps,United States,?
Apple,2009,Dec,Lala.com,Music streaming,United States,"17,000,000.00"
Apple,2010,Jan,Quattro Wireless,Mobile advertising,United States,"275,000,000.00"
Apple,2010,Apr,Intrinsity,Semiconductors,United States,"121,000,000.00"
Apple,2010,Apr,Siri,Voice control software,United States,?
Apple,2010,May,Gipsy Moth Studios,Application Regionalization Firm,United States,"12,000,000.00"
Apple,2010,Jul,Poly9,Web-based mapping,Canada,?
Apple,2010,Sep,Polar Rose,Facial recognition,Sweden,"29,000,000.00"
Apple,2010,Sep,IMSense,High-dynamic-range (HDR) photography,United Kingdom,?
Apple,2011,Aug,C3 Technologies,3D mapping,Sweden,"267,000,000.00"
Apple,2011,Dec,Anobit,Flash memory,Israel,"500,000,000.00"
Apple,2012,Feb,Chomp,App search engine,United States,"50,000,000.00"
Apple,2012,Jun,Redmatica,Audio,Italy,?
Apple,2012,Jul,AuthenTec,PC and mobile security products,United States,"356,000,000.00"
Apple,2012,Sep,Particle,HTML5 Web app firm,United States,?
Apple,2013,?,Novauris Technologies,Speech recognition,United Kingdom,?
Apple,2013,?,OttoCat,Search engine,United States,?
Apple,2013,Mar,WiFiSlam,Indoor location,United States,"20,000,000.00"
Apple,2013,Jul,Locationary,Maps,Canada,?
Apple,2013,Jul,HopStop.com,Maps,United States,?
Apple,2013,Aug,Passif Semiconductor,Semiconductors,United States,?
Apple,2013,Aug,Matcha,Media discovery app,United States,?
Apple,2013,Aug,Embark,Maps,United States,?
Apple,2013,Aug,AlgoTrim,Mobile data compression[citation needed],Sweden,?
Apple,2013,Oct,Cue,Personal assistant,United States,"50,000,000.00"
Apple,2013,Nov,PrimeSense,Structured-light 3D scanners,Israel,"360,000,000.00"
Apple,2013,Dec,Topsy,Analytics,United States,"200,000,000.00"
Apple,2013,Dec,BroadMap,Maps,United States,?
Apple,2013,Dec,Catch.com,Software,United States,?
Apple,2013,Dec,Acunu,Database analytics,United States,?
Apple,2014,Jan,SnappyLabs,Photography software,United States,?
Apple,2014,Feb,Burstly,Software testing,United States,?
Apple,2014,May,LuxVue Technology,microLED displays,United States,?
Apple,2014,Jun,Spotsetter,Social search engine,United States,?
Apple,2014,Jun,Swell,Music streaming,United States,"30,000,000.00"
Apple,2014,Jun,BookLamp,Book analytics,United States,?
Apple,2014,Aug,Beats Electronics,"Headphones, music streaming (Beats Music)",United States,?
Apple,2014,Sep,Prss,Digital magazine,Netherlands,?
Apple,2014,?,Dryft,On-Screen Keyboard,United States,?
Apple,2015,Jan,Camel Audio,Audio plug-ins and sound libraries,United Kingdom,?
Apple,2015,Jan,Semetric,Music analytics,United Kingdom,"50,000,000.00"
Apple,2015,Mar,FoundationDB,Database,United States,?
Apple,2015,Apr,LinX,Camera,Israel,"20,000,000.00"
Apple,2015,Apr,Coherent Navigation,GPS,United States,?
Apple,2015,May,Metaio,Augmented reality,Germany,?
